Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A087WPR5	unreviewed	A0A087WPR5_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptpn18	Mus musculus (Mouse)	289
A0A0G2JEW5	unreviewed	A0A0G2JEW5_MOUSE	Protein tyrosine phosphatase, non-receptor type 23	Ptpn23	Mus musculus (Mouse)	249
A0A0N4SUY2	unreviewed	A0A0N4SUY2_MOUSE	Protein tyrosine phosphatase, receptor type, O	Ptpro	Mus musculus (Mouse)	377
A0A0R4J080	unreviewed	A0A0R4J080_MOUSE	Tyrosine-protein phosphatase non-receptor type (EC 3.1.3.48)	Ptpn14	Mus musculus (Mouse)	849
A0A1B0GRH2	unreviewed	A0A1B0GRH2_MOUSE	Receptor-type tyrosine-protein phosphatase (EC 3.1.3.48)	Ptpre	Mus musculus (Mouse)	712
A0A1B0GRT6	unreviewed	A0A1B0GRT6_MOUSE	Receptor-type tyrosine-protein phosphatase (EC 3.1.3.48)	Ptpre	Mus musculus (Mouse)	719
A0A1W2P706	unreviewed	A0A1W2P706_MOUSE	Protein tyrosine phosphatase, receptor type, K	Ptprk	Mus musculus (Mouse)	282
A0A1W2P7W3	unreviewed	A0A1W2P7W3_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprb	Mus musculus (Mouse)	2285
A0A1W2P7Y1	unreviewed	A0A1W2P7Y1_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprk	Mus musculus (Mouse)	1471
A0A2R8VHH6	unreviewed	A0A2R8VHH6_MOUSE	Protein tyrosine phosphatase, receptor type, A	Ptpra	Mus musculus (Mouse)	374
A0A991ELE1	unreviewed	A0A991ELE1_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprg	Mus musculus (Mouse)	1442
A0A9K3AWH9	unreviewed	A0A9K3AWH9_MOUSE	MCG113486	mCG_113486	Mus musculus (Mouse)	69
A0A9K3AWS2	unreviewed	A0A9K3AWS2_MOUSE	MCG15292	mCG_15292	Mus musculus (Mouse)	414
A1E2H6	unreviewed	A1E2H6_MOUSE	Lymphocyte common antigen	Ptprc	Mus musculus (Mouse)	140
A2A8L5	reviewed	PTPRF_MOUSE	Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)	Ptprf Lar	Mus musculus (Mouse)	1898
A2ALK8	reviewed	PTN3_MOUSE	Tyrosine-protein phosphatase non-receptor type 3 (EC 3.1.3.48)	Ptpn3	Mus musculus (Mouse)	913
A2AWF8	unreviewed	A2AWF8_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprj	Mus musculus (Mouse)	1164
A2AWF9	unreviewed	A2AWF9_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprj	Mus musculus (Mouse)	1299
A3KN68	unreviewed	A3KN68_MOUSE	Protein tyrosine phosphatase, receptor type, N polypeptide 2	Ptprn2	Mus musculus (Mouse)	1001
A6MDD2	unreviewed	A6MDD2_MOUSE	Protein tyrosine phosphatase receptor type N (Protein tyrosine phosphatase, receptor type, N)	Ptprn	Mus musculus (Mouse)	981
B0V2N1	reviewed	PTPRS_MOUSE	Receptor-type tyrosine-protein phosphatase S (R-PTP-S) (EC 3.1.3.48) (PTPNU-3) (Receptor-type tyrosine-protein phosphatase sigma) (R-PTP-sigma)	Ptprs	Mus musculus (Mouse)	1907
B1AQN2	unreviewed	B1AQN2_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprt	Mus musculus (Mouse)	1454
B1AUH1	reviewed	PTPRU_MOUSE	Receptor-type tyrosine-protein phosphatase U (R-PTP-U) (EC 3.1.3.48) (Ftp-1) (Pancreatic carcinoma phosphatase 2) (PCP-2) (Protein-tyrosine phosphatase-lamda) (PTP-lambda) (PTPlambda) (Receptor-type protein-tyrosine phosphatase psi) (R-PTP-psi)	Ptpru Pcp2 Ptpf	Mus musculus (Mouse)	1446
B2RR29	unreviewed	B2RR29_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptpn7	Mus musculus (Mouse)	359
B2RRF0	unreviewed	B2RRF0_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprk	Mus musculus (Mouse)	1445
B2RU80	reviewed	PTPRB_MOUSE	Receptor-type tyrosine-protein phosphatase beta (Protein-tyrosine phosphatase beta) (R-PTP-beta) (EC 3.1.3.48) (Vascular endothelial protein tyrosine phosphatase) (VE-PTP)	Ptprb	Mus musculus (Mouse)	1998
B2RXS8	unreviewed	B2RXS8_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprz1	Mus musculus (Mouse)	1463
B7ZNE1	unreviewed	B7ZNE1_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptpn7	Mus musculus (Mouse)	352
B9EJA3	unreviewed	B9EJA3_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprd	Mus musculus (Mouse)	1508
B9EKR1	reviewed	PTPRZ_MOUSE	Receptor-type tyrosine-protein phosphatase zeta (R-PTP-zeta) (EC 3.1.3.48)	Ptprz1	Mus musculus (Mouse)	2312
D3Z6W2	unreviewed	D3Z6W2_MOUSE	Tyrosine-protein phosphatase non-receptor type (EC 3.1.3.48)	Ptpn2	Mus musculus (Mouse)	363
E9PVJ6	unreviewed	E9PVJ6_MOUSE	Protein tyrosine phosphatase, receptor type, O	Ptpro	Mus musculus (Mouse)	405
E9PVW8	unreviewed	E9PVW8_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprd	Mus musculus (Mouse)	1506
E9PXS4	unreviewed	E9PXS4_MOUSE	Protein tyrosine phosphatase 4a3	Ptp4a3	Mus musculus (Mouse)	154
E9Q0N2	reviewed	PTPRH_MOUSE	Receptor-type tyrosine-protein phosphatase H (R-PTP-H) (EC 3.1.3.48) (Stomach cancer-associated protein tyrosine phosphatase 1) (SAP-1)	Ptprh SAP-1	Mus musculus (Mouse)	971
E9Q4I1	unreviewed	E9Q4I1_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptpro	Mus musculus (Mouse)	1198
E9Q4S7	unreviewed	E9Q4S7_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprj	Mus musculus (Mouse)	1350
E9Q612	reviewed	PTPRO_MOUSE	Receptor-type tyrosine-protein phosphatase O (R-PTP-O) (EC 3.1.3.48) (Glomerular epithelial protein 1) (Protein tyrosine phosphatase U2) (PTP-U2) (PTPase U2)	Ptpro GLEPP1 Ptpn15 PTPU2	Mus musculus (Mouse)	1226
E9Q7I7	unreviewed	E9Q7I7_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprd	Mus musculus (Mouse)	1505
E9QAS3	unreviewed	E9QAS3_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptpn22	Mus musculus (Mouse)	715
F6S1X8	unreviewed	F6S1X8_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprf	Mus musculus (Mouse)	1332
F6Y3V0	unreviewed	F6Y3V0_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprf	Mus musculus (Mouse)	1291
G3UWK6	unreviewed	G3UWK6_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprd	Mus musculus (Mouse)	1505
G3UX60	unreviewed	G3UX60_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprd	Mus musculus (Mouse)	1502
G3UY75	unreviewed	G3UY75_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprd	Mus musculus (Mouse)	1890
G3UYU6	unreviewed	G3UYU6_MOUSE	protein-tyrosine-phosphatase (EC 3.1.3.48)	Ptprd	Mus musculus (Mouse)	1495
G3UZU6	unreviewed	G3UZU6_MOUSE	Protein tyrosine phosphatase, non-receptor type 6	Ptpn6	Mus musculus (Mouse)	45
G5E8B1	unreviewed	G5E8B1_MOUSE	Tyrosine-protein phosphatase non-receptor type 13 (EC 3.1.3.48)	Ptpn13	Mus musculus (Mouse)	2451
G5E8J4	unreviewed	G5E8J4_MOUSE	Tyrosine-protein phosphatase non-receptor type (EC 3.1.3.48)	Ptpn21	Mus musculus (Mouse)	1176
O35239	reviewed	PTN9_MOUSE	Tyrosine-protein phosphatase non-receptor type 9 (EC 3.1.3.48) (Protein-tyrosine phosphatase MEG2) (PTPase MEG2)	Ptpn9	Mus musculus (Mouse)	593
O55082	reviewed	PTN20_MOUSE	Tyrosine-protein phosphatase non-receptor type 20 (EC 3.1.3.48) (Testis-specific tyrosine phosphatase)	Ptpn20 Typ	Mus musculus (Mouse)	426
O70274	reviewed	TP4A2_MOUSE	Protein tyrosine phosphatase type IVA 2 (EC 3.1.3.48) (Protein-tyrosine phosphatase 4a2) (Protein-tyrosine phosphatase of regenerating liver 2) (PRL-2)	Ptp4a2 Prl2	Mus musculus (Mouse)	167
O88570	unreviewed	O88570_MOUSE	Protein tyrosine phosphatase rPTP-GMC1	Ptprq	Mus musculus (Mouse)	24
